compound,CAS,SMILES,dose,dose.units,Cmax,Cmax.units,Cmax/dose,reference,original.reference,link,note
Bufuralol,54340-62-4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,0.107,mg/kg bw,0.041,mg/L,0.383,Pringle1986,Pringle1986,https://bpspubs.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2125.1986.tb02931.x,
Bufuralol,54340-62-4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,0.214,mg/kg bw,0.064,mg/L,0.299,Pringle1986,Pringle1986,https://bpspubs.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2125.1986.tb02931.x,
Bufuralol,54340-62-4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,0.429,mg/kg bw,0.138,mg/L,0.322,Pringle1986,Pringle1986,https://bpspubs.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2125.1986.tb02931.x,
Bufuralol,54340-62-4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,0.857,mg/kg bw,0.29,mg/L,0.338,Pringle1986,Pringle1986,https://bpspubs.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2125.1986.tb02931.x,
Bufuralol,54340-62-4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,1.714,mg/kg bw,0.455,mg/L,0.265,Pringle1986,Pringle1986,https://bpspubs.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2125.1986.tb02931.x,
Bufuralol,54340-62-4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,0.286,mg/kg bw,0.102,mg/L,0.357,Balant1980,Balant1980,https://link.springer.com/content/pdf/10.1007%2FBF01059544.pdf,* normal subjects
Bufuralol,54340-62-4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,0.429,mg/kg bw,0.103,mg/L,0.24,Dayer1985,Dayer1985,https://link.springer.com/content/pdf/10.1007%2FBF00543330.pdf,"* poor metabolizers, cmax is estimated from figure"
Bufuralol,54340-62-4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,0.857,mg/kg bw,0.11,mg/L,0.128,Dayer1985,Dayer1985,https://link.springer.com/content/pdf/10.1007%2FBF00543330.pdf,* extensive metabolizers    //  cmax is estimated from figure
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.143,mg/kg bw,0.0027,mg/L,0.019,Jagannathan1997,Jagannathan1997,https://www.ncbi.nlm.nih.gov/pubmed/9379784,
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.429,mg/kg bw,0.0064,mg/L,0.015,Jagannathan1997,Jagannathan1997,https://www.ncbi.nlm.nih.gov/pubmed/9379784,
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.143,mg/kg bw,0.0009,mg/L,0.006,Gammans 1985,Gammans 1985,https://www.ncbi.nlm.nih.gov/pubmed/2860931,dose was on average 0.14 mg/kg
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.286,mg/kg bw,0.0017,mg/L,0.006,Gammans 1985,Gammans 1985,https://www.ncbi.nlm.nih.gov/pubmed/2860931,dose was on average 0.26 mg/kg
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.571,mg/kg bw,0.0032,mg/L,0.006,Gammans 1985,Gammans 1985,https://www.ncbi.nlm.nih.gov/pubmed/2860931,dose was on avearge 0.55 mg/kg
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.286,mg/kg bw,0.01882,mg/L,0.066,Dalhoff1987,Dalhoff1987,https://bpspubs.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1365-2125.1987.tb03210.x,patients with cirrhosis *average bodyweight 80 kg
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.286,mg/kg bw,0.00115,mg/L,0.004,Dalhoff1987,Dalhoff1987,https://bpspubs.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1365-2125.1987.tb03210.x,control *average bodyweight 73 kg
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.143,mg/kg bw,0.00101,mg/L,0.007,Barbjaiya1994,Barbjaiya1994,https://link.springer.com/content/pdf/10.1007%2FBF00195914.pdf,"normal, average bodyweight 65 kg"
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.143,mg/kg bw,0.00248,mg/L,0.017,Barbjaiya1994,Barbjaiya1994,https://link.springer.com/content/pdf/10.1007%2FBF00195914.pdf,"mild renal impairment, average bodyweight 66 kg"
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.143,mg/kg bw,0.00181,mg/L,0.013,Barbjaiya1994,Barbjaiya1994,https://link.springer.com/content/pdf/10.1007%2FBF00195914.pdf,"moderate renal impairment, average bodyweight 67 kg"
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.143,mg/kg bw,0.00183,mg/L,0.013,Barbjaiya1994,Barbjaiya1994,https://link.springer.com/content/pdf/10.1007%2FBF00195914.pdf,"severe renal impairment, average bodyweight 66 kg"
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.143,mg/kg bw,0.00461,mg/L,0.032,Barbjaiya1994,Barbjaiya1994,https://link.springer.com/content/pdf/10.1007%2FBF00195914.pdf,"compensated cirrhotics, average bodyweight 65 kg"
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.143,mg/kg bw,0.0117,mg/L,0.082,Barbjaiya1994,Barbjaiya1994,https://link.springer.com/content/pdf/10.1007%2FBF00195914.pdf,"decompensated cirrhotics, average bodyweight 72 kg"
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.286,mg/kg bw,0.00247,mg/L,0.009,Mayol1985 in Gammans1986,Mayol1985 in Gammans1986,https://www.amjmed.com/article/0002-9343(86)90331-1/pdf,"reference in article: Mayol RF, Adamson DS, Gammans RE, LaBudde JA: Pharmacokinetics disposition of 14C-buspirone HCI after intravenous and oral dosing in man (abstr). Clin Pharmacol Ther 1985; 37: 210."
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.214,mg/kg bw,0.0015,mg/L,0.007,Gammans1989,Gammans1989,https://www.scopus.com/record/display.uri?eid=2-s2.0-0021961682&origin=resultslist&sort=plf-f&src=s&st1=The+relationship+between+buspirone+bioavailability+and+dose+in+healthy+subjects&st2=&sid=16271748ef8e2c6e45c143271170aea0&sot=b&sdt=b&sl=94&s=TITLE-ABS-KEY%28The+relationship+between+buspirone+bioavailability+and+dose+in+healthy+subjects%29&relpos=0&citeCnt=24&searchTerm=,have PDF from the library if you need it
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.286,mg/kg bw,0.00606,mg/L,0.021,Mayol1983 in Gammans1986,Mayol1983 in Gammans1986,https://www.amjmed.com/article/0002-9343(86)90331-1/pdf,"after food *reference in article: Mayol RF, Gammans RE, Mackenthun AV, Soyka LF: The effect of food on the bioavailability of buspirone HCl (abstr). Clin Res 1983; 31: 631A. "
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.286,mg/kg bw,0.0028,mg/L,0.01,Mayol1983 in Gammans1986,Mayol1983 in Gammans1986,https://www.amjmed.com/article/0002-9343(86)90331-1/pdf,"no food* reference in article: Mayol RF, Gammans RE, Mackenthun AV, Soyka LF: The effect of food on the bioavailability of buspirone HCl (abstr). Clin Res 1983; 31: 631A. "
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.214,mg/kg bw,0.00192,mg/L,0.009,Sakr2001,Sakr2001,https://accp1.onlinelibrary.wiley.com/doi/epdf/10.1177/00912700122010582,immediate release * extended release formulation not from this study not taken into account
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.143,mg/kg bw,0.00139,mg/L,0.01,Dockens2007,Dockens2007,https://onlinelibrary.wiley.com/doi/epdf/10.1002/bdd.566,
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.143,mg/kg bw,0.0009,mg/L,0.006,Cho2006,Cho2006,https://onlinelibrary.wiley.com/doi/full/10.1002/rcm.2441,
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.143,mg/kg bw,0.00175,mg/L,0.012,Kivistö1999,Kivistö1999,https://journals.lww.com/drug-monitoring/Fulltext/1999/06000/Determination_of_Buspirone_and.11.aspx,*cmax estimated from figure
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.143,mg/kg bw,0.0026,mg/L,0.018,Lamberg1998,Lamberg1998,https://ascpt.onlinelibrary.wiley.com/doi/epdf/10.1016/S0009-9236%2898%2990087-X,
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.143,mg/kg bw,0.001,mg/L,0.007,Kivistö1997,Kivistö1997,https://ascpt.onlinelibrary.wiley.com/doi/epdf/10.1016/S0009-9236%2897%2990038-2,
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.429,mg/kg bw,0.0066,mg/L,0.015,Lamberg2003,Lamberg2003,https://bpspubs.onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2125.1998.t01-1-00698.x,two doses day 6 and day 30
Buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.143,mg/kg bw,0.00196,mg/L,0.014,Lilja1998,Lilja1998,https://ascpt.onlinelibrary.wiley.com/doi/epdf/10.1016/S0009-9236%2898%2990056-X,
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.286,mg/kg bw,3.74,mg/L,1.636,White2016,White2016,https://www.tandfonline.com/doi/full/10.3109/15563650.2016.1146740,hot coffee - consumed over time of 20 min 
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.286,mg/kg bw,3.64,mg/L,1.593,White2016,White2016,https://www.tandfonline.com/doi/full/10.3109/15563650.2016.1146740,cold coffee - consumed over time of 2 min
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.286,mg/kg bw,3.56,mg/L,1.558,White2016,White2016,https://www.tandfonline.com/doi/full/10.3109/15563650.2016.1146740,cold coffee - consumed over time of 20 min
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.286,mg/kg bw,3.36,mg/L,1.47,White2016,White2016,https://www.tandfonline.com/doi/full/10.3109/15563650.2016.1146740,energy drink - consumed over time of 2 min
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.286,mg/kg bw,3.14,mg/L,1.374,White2016,White2016,https://www.tandfonline.com/doi/full/10.3109/15563650.2016.1146740,energy drink - consumed over time of 20 min
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2,mg/kg bw,3.5,mg/L,1.75,May/82,May/82,https://www.ncbi.nlm.nih.gov/pubmed/7075114,smokers * have a PDF if you need it
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2,mg/kg bw,3.3,mg/L,1.65,May/82,May/82,https://www.ncbi.nlm.nih.gov/pubmed/7075114,nonsmokers *have a PDF if you need it
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.857,mg/kg bw,4.96,mg/L,1.736,Amchin1999,Amchin1999,https://accp1.onlinelibrary.wiley.com/doi/epdf/10.1177/009127009903900308,average bodyweight 70.5 kg
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,5,mg/kg bw,9.9,mg/L,1.98,Blanchard1983,Blanchard1983,https://link.springer.com/content/pdf/10.1007%2FBF00613933.pdf,
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.857,mg/kg bw,4.97,mg/L,1.74,Balogh1995,Balogh1995,https://link.springer.com/content/pdf/10.1007%2FBF00192743.pdf,group A* the four 'different' values in this group are all from the same group of women receiving the same intervention four times on different occasions   /   there is one more intervention where the subjects also received contraceptives
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.857,mg/kg bw,5.23,mg/L,1.831,Balogh1995,Balogh1995,https://link.springer.com/content/pdf/10.1007%2FBF00192743.pdf,group A* the four 'different' values in this group are all from the same group of women receiving the same intervention four times on different occasions   /   there is one more intervention where the subjects also received contraceptives
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.857,mg/kg bw,5.15,mg/L,1.803,Balogh1995,Balogh1995,https://link.springer.com/content/pdf/10.1007%2FBF00192743.pdf,group A* the four 'different' values in this group are all from the same group of women receiving the same intervention four times on different occasions   /   there is one more intervention where the subjects also received contraceptives
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.857,mg/kg bw,5.55,mg/L,1.943,Balogh1995,Balogh1995,https://link.springer.com/content/pdf/10.1007%2FBF00192743.pdf,group A* the four 'different' values in this group are all from the same group of women receiving the same intervention four times on different occasions   /   there is one more intervention where the subjects also received contraceptives
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.857,mg/kg bw,4.28,mg/L,1.498,Balogh1995,Balogh1995,https://link.springer.com/content/pdf/10.1007%2FBF00192743.pdf,group B* the four 'different' values in this group are all from the same group of women receiving the same intervention four times on different occasions   /   there is one more intervention where the subjects also received contraceptives
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.857,mg/kg bw,4.86,mg/L,1.701,Balogh1995,Balogh1995,https://link.springer.com/content/pdf/10.1007%2FBF00192743.pdf,group B* the four 'different' values in this group are all from the same group of women receiving the same intervention four times on different occasions   /   there is one more intervention where the subjects also received contraceptives
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.857,mg/kg bw,4.89,mg/L,1.712,Balogh1995,Balogh1995,https://link.springer.com/content/pdf/10.1007%2FBF00192743.pdf,group B* the four 'different' values in this group are all from the same group of women receiving the same intervention four times on different occasions   /   there is one more intervention where the subjects also received contraceptives
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.857,mg/kg bw,4.79,mg/L,1.677,Balogh1995,Balogh1995,https://link.springer.com/content/pdf/10.1007%2FBF00192743.pdf,group B* the four 'different' values in this group are all from the same group of women receiving the same intervention four times on different occasions   /   there is one more intervention where the subjects also received contraceptives
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,3.214,mg/kg bw,4.09,mg/L,1.272,Stille1987,Stille1987,https://academic.oup.com/jac/article-abstract/20/5/729/671327?redirectedFrom=fulltext,"same subjects, but measured on different occasions  got a PDF if you like to have it"
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,3.214,mg/kg bw,4.49,mg/L,1.397,Stille1987,Stille1987,https://academic.oup.com/jac/article-abstract/20/5/729/671327?redirectedFrom=fulltext,"same subjects, but measured on different occasions  got a PDF if you like to have it"
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,3.214,mg/kg bw,3.9,mg/L,1.213,Stille1987,Stille1987,https://academic.oup.com/jac/article-abstract/20/5/729/671327?redirectedFrom=fulltext,"same subjects, but measured on different occasions  got a PDF if you like to have it"
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0.714,mg/kg bw,1.17,mg/L,1.638,Kamimori2002,Kamimori2002,https://www.sciencedirect.com/science/article/pii/S0378517301009589?via%3Dihub,administered in capsule
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,1.429,mg/kg bw,1.84,mg/L,1.288,Kamimori2002,Kamimori2002,https://www.sciencedirect.com/science/article/pii/S0378517301009589?via%3Dihub,administered in capsule
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.857,mg/kg bw,4.13,mg/L,1.446,Kamimori2002,Kamimori2002,https://www.sciencedirect.com/science/article/pii/S0378517301009589?via%3Dihub,administered in capsule
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0.714,mg/kg bw,0.7,mg/L,0.98,Kamimori2002,Kamimori2002,https://www.sciencedirect.com/science/article/pii/S0378517301009589?via%3Dihub,administered as chewing gum (mentioned that 85% should be released in the 5 minutes the subjects chewed)
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,1.429,mg/kg bw,1.2,mg/L,0.84,Kamimori2002,Kamimori2002,https://www.sciencedirect.com/science/article/pii/S0378517301009589?via%3Dihub,administered as chewing gum (mentioned that 85% should be released in the 5 minutes the subjects chewed)
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.857,mg/kg bw,3.7,mg/L,1.295,Kamimori2002,Kamimori2002,https://www.sciencedirect.com/science/article/pii/S0378517301009589?via%3Dihub,administered as chewing gum (mentioned that 85% should be released in the 5 minutes the subjects chewed)
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,1.01,mg/kg bw,2.038,mg/L,2.018,Martinez-Lopez2014,Martinez-Lopez2014,https://www.sciencedirect.com/science/article/pii/S0963996914003585?via%3Dihub#bb0120,dosed as 'coffee product' 
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0.857,mg/kg bw,1.91,mg/L,2.228,Morton2018,Morton2018,https://accp1.onlinelibrary.wiley.com/doi/full/10.1002/cpdd.451,caffeine in green coffee bean extract
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0.857,mg/kg bw,2.09,mg/L,2.438,Morton2018,Morton2018,https://accp1.onlinelibrary.wiley.com/doi/full/10.1002/cpdd.451,pure caffeine 
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2,mg/kg bw,9.1,mg/L,4.55,Bchir2006,Bchir2006,https://www.sciencedirect.com/science/article/pii/S1631069106000217?via%3Dihub,insomniac subjects
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2,mg/kg bw,7.29,mg/L,3.645,Bchir2006,Bchir2006,https://www.sciencedirect.com/science/article/pii/S1631069106000217?via%3Dihub,non-insomniac subjects
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.857,mg/kg bw,5.98,mg/L,2.093,Gelal 2003,Gelal 2003,https://link.springer.com/article/10.1007%2Fs00228-003-0631-1,dosed with menthol (100 mg) *mean bodyweight of 53.7 kg
